"ordospaceInventoryId","ordospaceRoleRoutes","ordospaceComponent","existingLocationFunction","currentStates","salesopsId","salesopsComponent","salesopsZipEvidence","salesopsCodeEvidence","liveEvidence","officialV0Evidence","classification","classificationReason","derivedBasis","preserveLayout","preserveData","preserveFunction","visualToMigrate","forbiddenCopy","responsiveStrategy","accessibilityRequirements","implementationRound","verificationRound","verificationMethod","uncertainty","completionStatus","implementationTarget","evidence"
"UI-024","client/dashboard","approval-card grid","latest done cards","populated/empty","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-025","client/project","project progress header","project metadata/rate","normal/long meta","SO-HEADER-001","Header","components/dashboard/header.tsx","Header","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Header tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/header.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-026","client/project","chain/status filters","filter state","all/selected/no-result","SO-FILTER-001","Filter controls","components/dashboard/sections/deals.tsx","selectedFilter","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Filter controls tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/sections/deals.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-027","client/project","step timeline and gate rows","grouped ModuleCards","gate pass/fail, empty","SO-CHART-001","Chart container","components/ui/chart.tsx","ChartContainer","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Derived","Combine SO-CHART-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Combine SO-CHART-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Chart container tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/chart.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-028","client/project","artifacts/assets panel","deliverable list","populated/empty/long filename","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-029","client/project","card detail modal","selected ModuleCard","open/closed, comment, approval error","SO-DIALOG-001","Modal/Dialog","components/ui/dialog.tsx","Dialog","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Modal/Dialog tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","Counterpart is code-only; visual state will be derived and verified in UI Lab.","Mapped for implementation","true","components/ui/dialog.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-030","client/approvals","approval queue list","done cards","selected/unselected/empty","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-031","client/approvals","approval detail","selected deliverable","normal, no selection, long content","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-032","client/approvals","decision controls","approve/revision transition","enabled, disabled, confirm, error","SO-INPUT-001","Input","components/ui/input.tsx","Input","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/deals.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Input tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 7","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/input.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-033","worker/home","worker KPI row","assigned-card summaries","populated/zero/warn","SO-CARD-002","Metric card","components/dashboard/metric-card.tsx","MetricCard","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Metric card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/metric-card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-034","worker/home","revision queue","revision cards","populated/empty","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-035","worker/home","in-progress section","active assigned cards","populated/empty","SO-PROGRESS-001","Progress","components/ui/progress.tsx","Progress","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Progress tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/progress.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-036","worker/home","pending section","queued assigned cards","populated/empty","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-037","worker/cards","work filter/count bar","role-owned filters/count","all/selected/no-result","SO-FILTER-001","Filter controls","components/dashboard/sections/deals.tsx","selectedFilter","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Filter controls tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/sections/deals.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-038","worker/cards","work-card list","assigned cards","selected, revision, overdue","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-039","worker/cards","work-card detail","selected card","no selection, long content","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-040","worker/cards","QC checklist","card QC values","unchecked/checked/blocked","SO-INPUT-001","Input","components/ui/input.tsx","Input","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Derived","Combine SO-INPUT-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Combine SO-INPUT-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Input tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/input.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-041","worker/cards","work log controls","hours/text append","default, validation, success/error","SO-INPUT-001","Input","components/ui/input.tsx","Input","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Input tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/input.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-042","worker/cards","submit-to-review action","lifecycle transition","disabled by QC, enabled, submitting, error","SO-SHELL-001","Dashboard Shell","app/page.tsx","Dashboard","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/pipeline.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Dashboard Shell tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 8","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","app/page.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-043","admin/home","operations KPI row","overdue/review/MH/projects","normal/zero/warn/critical","SO-CARD-002","Metric card","components/dashboard/metric-card.tsx","MetricCard","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Metric card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 6","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/dashboard/metric-card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-044","admin/home","immediate-action cards","derived priority actions","populated/none","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Derived","Combine SO-CARD-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Combine SO-CARD-001 surface/state grammar with declared background, border, accent, radius and focus tokens; no structurally equivalent SalesOps component preserves this ORDOSPACE purpose.","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 6","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-045","admin/home","project summary table","project progress/deadline/status","hover, overdue, long client","SO-PROGRESS-001","Progress","components/ui/progress.tsx","Progress","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Progress tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 6","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/progress.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-046","admin/home","resource rows","worker load and MH","active/idle/long name","SO-CARD-001","Card","components/ui/card.tsx","Card","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Card tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 6","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/card.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
"UI-047","admin/projects","board/table view toggle","`_adminProjectView`","default/active/focus","SO-TABLE-001","Table","components/ui/table.tsx","Table","https://v0-sales-operations-dashboard.vercel.app/ + evidence/redo/r02/salesops-live/desktop/overview.png","Official v0 template visually checked; same dark shell/component grammar, no code provenance claimed.","Adapted","A direct SalesOps pattern exists, but ORDOSPACE role/data/lifecycle/static-DOM requirements require adaptation.","Not applicable","Current ORDOSPACE placement, section order, dimensions, route shell and responsive composition.","All Korean copy, counts, identifiers, fixtures and domain meaning.","All actions, role guards, session/localStorage/API/lifecycle behavior and selectors.","Recreate Table tokens, borders, density, type, hover/focus and state expression without SalesOps IA.","SalesOps navigation, sales terms, CRM mock data, routes, Next/React/Radix runtime and fake identities.","Preserve ORDOSPACE D/T/M breakpoints and shell behavior; adapt only visual grammar.","Preserve semantic label/name, visible focus, keyboard operation, contrast and reduced-motion behavior.","Round 6","Round 9","Visual + DOM selector + route/role/function regression at 1440/1024/390.","None","Mapped for implementation","true","components/ui/table.tsx; evidence/redo/r02/salesops-live/desktop/; docs/redo/r02/salesops-component-catalog.md"
